CRASH_ID,VEH_HNR_FL
14885794,Y
14878211,Y
14900037,Y
14864845,Y
14872770,Y
14848933,Y
14867543,Y
14873624,Y
14893846,Y
14897840,Y
14867804,Y
14886546,Y
14889995,Y
14856879,Y
14870148,Y
14875680,Y
14891185,Y
14850269,Y
14853424,Y
14861556,Y
14879198,Y
14846632,Y
14879179,Y
14901824,Y
14903187,Y
14904719,Y
14875379,Y
14887239,Y
14848364,Y
14886169,Y
14871422,Y
14873972,Y
14889226,Y
14844344,Y
14867513,Y
14888165,Y
14888683,Y
14888894,Y
14897052,Y
14860298,Y
14881444,Y
14851735,Y
14885187,Y
14892846,Y
14904924,Y
14848341,Y
14849811,Y
14890018,Y
14898917,Y
14852917,Y
14871309,Y
14883323,Y
14862007,Y
14897034,Y
14897263,Y
14872761,Y
14842278,Y
14893466,Y
14863075,Y
14904860,Y
14864168,Y
14890318,Y
14894786,Y
14847892,Y
14865622,Y
14852094,Y
14870196,Y
14875730,Y
14900768,Y
14900821,Y
14856218,Y
14859769,Y
14882346,Y
14890080,Y
14861361,Y
14876746,Y
14880224,Y
14889698,Y
14896511,Y
14865548,Y
14888231,Y
14850585,Y
14877692,Y
14877833,Y
14885187,Y
14902046,Y
14859108,Y
14869963,Y
14851224,Y
14860922,Y
14865444,Y
14876936,Y
14889687,Y
14903025,Y
14888425,Y
14894300,Y
14899222,Y
14902492,Y
14844479,Y
14847339,Y
14886652,Y
14849664,Y
14853703,Y
14856536,Y
14873446,Y
14894987,Y
14899541,Y
14902457,Y
14872018,Y
14881987,Y
14893429,Y
14843283,Y
14859701,Y
14889389,Y
14891740,Y
14899600,Y
14900264,Y
14884578,Y
14886344,Y
14853524,Y
14842298,Y
14867716,Y
14879499,Y
14887441,Y
14864502,Y
14884551,Y
14888384,Y
14861006,Y
14862073,Y
14866769,Y
14876741,Y
14895934,Y
14904788,Y
14847881,Y
14866571,Y
14882497,Y
14871489,Y
14852072,Y
14890373,Y
14872344,Y
14875489,Y
14846753,Y
14885731,Y
14889075,Y
14861930,Y
14863133,Y
14863454,Y
14864502,Y
14877134,Y
14897187,Y
14844538,Y
14874501,Y
14882569,Y
14885720,Y
14900130,Y
14844539,Y
14871368,Y
14903598,Y
14865620,Y
14882497,Y
14903650,Y
14888933,Y
14846979,Y
14876157,Y
14887996,Y
14860043,Y
14868568,Y
14895887,Y
14865265,Y
14865449,Y
14866886,Y
14869941,Y
14883996,Y
14904658,Y
14844353,Y
14888390,Y
14898041,Y
14904142,Y
14840819,Y
14861181,Y
14862925,Y
14875396,Y
14882340,Y
14895209,Y
14901814,Y
14896377,Y
14845668,Y
14903996,Y
14892761,Y
14859390,Y
14863489,Y
14901065,Y
14847690,Y
14884294,Y
14898454,Y
14898720,Y
14840017,Y
14887430,Y
14894471,Y
14865790,Y
14879793,Y
14902207,Y
14859594,Y
14894452,Y
14895983,Y
14844463,Y
14892728,Y
14859957,Y
14893513,Y
14893846,Y
14904158,Y
14904717,Y
14903646,Y
14850115,Y
14856868,Y
14879765,Y
14893931,Y
14897068,Y
14845673,Y
14870973,Y
14873291,Y
14882150,Y
14886241,Y
14899531,Y
14903117,Y
14865369,Y
14868065,Y
14871451,Y
14842987,Y
14886277,Y
14838842,Y
14854530,Y
14880428,Y
14888934,Y
14880282,Y
14889491,Y
14880513,Y
14883419,Y
14868903,Y
14858415,Y
14868363,Y
14874773,Y
14883430,Y
14872470,Y
14902187,Y
14859625,Y
14897466,Y
14897490,Y
14840612,Y
14857516,Y
14866317,Y
14887660,Y
14902634,Y
14872412,Y
14883240,Y
14887148,Y
14890506,Y
14867981,Y
14871580,Y
14899123,Y
14870271,Y
14897839,Y
14898463,Y
14884269,Y
14896948,Y
14903239,Y
14865808,Y
14897214,Y
14904944,Y
14845274,Y
14852533,Y
14872659,Y
14873477,Y
14846096,Y
14864942,Y
14865332,Y
14872708,Y
14849279,Y
14898703,Y
